Item Name,Category,desc,qty,weight,unit,url,price,worn,consumable
Sac Salomon SLab Adventure 20,Trail,,1,485,gram,,0,,
2 lampes Stoots Kiska II + 2 batteries,Trail,,1,140,gram,,0,,
Bivy Sol Escape,Couchage,,1,245,gram,,0,,
Poche à eau 1.5 L Salomon,Hydratation,,1,120,gram,,0,,
3 flasques 500 mL Salomon,Hydratation,,1,100,gram,,0,,
Filtre Sawyer PointOne + réserve 2 L,Hydratation,,1,98,gram,,0,,
Paire de Panta Zaros de rechange,Vêtements,,1,225,gram,,0,,
Veste imperméable respirante Raidlight,Vêtements,,1,225,gram,,0,,
Short + t-shirt + 2 paires de chaussettes,Vêtements,,1,220,gram,,0,,
Bob Raidlight + manchettes Raidlight + buff mérinos,Vêtements,,1,100,gram,,0,,
Gants Decathlon + sur-moufles Raidlight,Vêtements,,1,77,gram,,0,,
2 Galaxy S21,Multimédia,,1,380,gram,,0,,
2 batteries externes Nitecore Gen II,Multimédia,,1,300,gram,,0,,
GoPro Hero 8 + 2 batteries,Multimédia,,1,150,gram,,0,,
Masque de snorkeling,Divers,,1,70,gram,,0,,
