Item Name,Category,desc,qty,weight,unit,url,price,worn,consumable
Bivy Sol Escape,Couchage,,1,245,gram,https://www.mgaffaires.com/fr/securite-accessoires/2579-sac-de-bivouac-bivvy-escape-zip-arva.html,60,,
Salomon SLab Adventure 20,Trail,,1,485,gram,https://www.salomon.com/fr-fr/product/s-lab-adventure-20-lc13870,220,,
Lampe frontale STOOTS Kiska II,Trail,,2,19,gram,,80,,
Batterie lampe frontale Kiska II,Trail,,2,46,gram,,15,,
Julbo Fury Photochromic 1-3,Trail,,1,25,gram,https://www.privatesportshop.fr/catalog/product/view/id/3552658,131,,
Gopro HERO 8 Black,Multimédia,,1,103,gram,,0,,
Batterie Gopro ,Multimédia,,2,23,gram,https://www.lacameraembarquee.fr/batteries/6681-batterie-lce-pour-gopro-hero5-hero6-hero7-black-hero8-0659436527591.html,20,,
Batterie externe Nitecore Gen 2,Multimédia,,2,150,gram,https://www.nitecore-france.com/catalogue/batteries-piles-nitecore/powerbank-nitecore-nb-10000-10-000mah.html,60,,
Galaxy S21,Multimédia,,2,190,gram,,160,,
Raidlight Ultralight 2.0 MP+ L,Vêtements,,1,225,gram,https://raidlight.com/products/veste-femme-ultralight-2-0-mp,200,,
Panta Boreas taille 43,Vêtements,,2,225,gram,https://pantasandals.com/fr-fr/products/zaros,80,,
Gants Decathlon Evolutiv,Vêtements,,1,57,gram,https://www.decathlon.fr/p/gants-de-running-adulte-kiprun-evolutiv-v2/_/R-p-340804,15,,
Sur-mouffles Raidlight Ultralight MP+,Vêtements,,1,20,gram,,45,,
Bob Aventure Raidlight,Vêtements,,1,50,gram,https://raidlight.com/products/bob-de-trail-made-in-france,20,,
Manchettes Performance Raidlight,Vêtements,,1,30,gram,https://raidlight.com/products/manchettes-performance?variant=56291919298940,0,,
Masque de snorkeling,Vêtements,,1,0,gram,,0,,
Eau 3L,Hydratation,,1,3000,gram,,0,,
"Poche à eau 1,5L Salomon",Hydratation,,1,120,gram,https://www.salomon.com/fr-fr/product/soft-reservoir-1-5l-lc10647/LC1916200?sizeId=LC1916200001,35,,
Salomon Soft Flask 500mL,Hydratation,,3,33,gram,https://www.salomon.com/fr-fr/product/soft-flask-500ml-17oz-42-lc10473/LC1916000?sizeId=LC1916000001,14,,
Sawyer Micro Squeeze,Hydratation,,1,50,gram,https://www.knivesandtools.fr/fr/pt/-sawyer-micro-squeeze-sp2129-filtre-a-eau.htm,50,,
Réserve 2L Sawyer,Hydratation,,1,48,gram,,0,,
"Pansements, tire-tique, etc.",Hydratation,,1,16,gram,,0,,
Boules d'énergie,Alimentation,,39,20,gram,,0,,
Isotonique,Alimentation,,14,50,gram,,0,,
Saucissons bio,Alimentation,,2,200,gram,,0,,
Gels caféine coca,Alimentation,,4,65,gram,,0,,
Plats lyophilisés,Alimentation,,5,120,gram,,0,,
