Item Name,Category,desc,qty,weight,unit,url,price,worn,consumable
Gatewood cape,Couchage,,1,310,gram,https://www.sixmoondesigns.com/products/gatewood-cape,194,,
Sardines ,Couchage,,5,10,gram,https://www.lyophilise.fr/8776-piquets-de-tente-msr-mini-groundhog-x-6.html,5,,
Matelas mousse MT500 découpé,Couchage,,1,190,gram,https://www.aventurenordique.com/thermarest-neoair-xlite-nxt-max.html,18,,
Bivy Escape Lite,Couchage,,1,155,gram,https://www.mgaffaires.com/fr/securite-accessoires/2579-sac-de-bivouac-bivvy-escape-zip-arva.html,60,,
Sac de couchage Cumulus Xlite 300,Couchage,,1,515,gram,https://cumulus.equipment/fr/eu/configurator/sacs-de-couchage-en-duvet-x-lite-400-custom,495,,
Sac à viande soie ,Couchage,,1,120,gram,https://www.decathlon.fr/p/drap-de-sac-de-trekking-en-soie-mt500/_/R-p-323651,0,,
Salomon SLab Adventure 20,Trail,,1,485,gram,https://www.salomon.com/fr-fr/product/s-lab-adventure-20-lc13870,220,,
Leki Crosstrail FX One 125 cm,Trail,,1,182,gram,https://www.deporvillage.fr/batons-leki-cross-trail-fx-one-superlite-blanc-noir-paire?queryID=6718ce8e06c800ef0c3621acef6c05fa,155,,
Lampe frontale STOOTS Kiska II,Trail,,2,19,gram,,80,,
Batterie lampe frontale Kiska II,Trail,,2,46,gram,,15,,
Julbo Fury Photochromic 1-3,Trail,,1,25,gram,https://www.privatesportshop.fr/catalog/product/view/id/3552658,131,,
Mini couteau,Trail,,1,77,gram,,0,,
Cuillère couteau,Trail,,1,71,gram,,0,,
Gopro HERO 8 Black,Multimédia,,1,103,gram,,0,,
Batterie Gopro ,Multimédia,,2,23,gram,https://www.lacameraembarquee.fr/batteries/6681-batterie-lce-pour-gopro-hero5-hero6-hero7-black-hero8-0659436527591.html,20,,
Batterie externe Nitecore Gen 2,Multimédia,,2,150,gram,https://www.nitecore-france.com/catalogue/batteries-piles-nitecore/powerbank-nitecore-nb-10000-10-000mah.html,60,,
Galaxy S23,Multimédia,,2,178,gram,,160,,
Montre Coros APEX 2 Pro,Multimédia,,1,53,gram,,450,,
Eau,Hydratation,,1,3000,gram,,0,,
Hydrapak Contour 2L,Hydratation,,1,142,gram,https://www.salomon.com/fr-fr/product/soft-reservoir-1-5l-lc10647/LC1916200?sizeId=LC1916200001,35,,
Salomon Soft Flask 500mL,Hydratation,,2,33,gram,https://www.salomon.com/fr-fr/product/soft-flask-500ml-17oz-42-lc10473/LC1916000?sizeId=LC1916000001,14,,
Hydrapak Stow 1L,Hydratation,,1,57,gram,https://www.hydrapak.fr/fr/bouteilles/2785-3459-bouteille-stow-1-l.html#/138-couleur_hydra_komp-mammoth_grey,25,,
Sawyer Micro Squeeze,Hydratation,,1,50,gram,https://www.knivesandtools.fr/fr/pt/-sawyer-micro-squeeze-sp2129-filtre-a-eau.htm,50,,
"Pansements, tire-tique, etc.",Hydratation,,1,16,gram,,0,,
Raidlight Ultralight 3.0 MP+ L,Vêtements,,1,185,gram,https://raidlight.com/products/veste-femme-ultralight-2-0-mp,200,,
Panta Boreas taille 43,Vêtements,,1,225,gram,https://pantasandals.com/fr-fr/products/zaros,80,,
Gants Decathlon Evolutiv,Vêtements,,1,57,gram,https://www.decathlon.fr/p/gants-de-running-adulte-kiprun-evolutiv-v2/_/R-p-340804,15,,
Sur-mouffles Raidlight Ultralight MP+,Vêtements,,1,20,gram,,45,,
Bob Aventure Raidlight,Vêtements,,1,50,gram,https://raidlight.com/products/bob-de-trail-made-in-france,20,,
Manchettes Performance Raidlight,Vêtements,,1,30,gram,https://raidlight.com/products/manchettes-performance?variant=56291919298940,0,,
T-shirt Salomon M,Vêtements,,1,70,gram,,40,,
Short On Ultra shorts M,Vêtements,,1,150,gram,,80,,
Caleçon Decathlon L,Vêtements,,1,54,gram,,18,,
Boules d'énergie,Alimentation,,26,24,gram,,0,,
Barres avoine,Alimentation,,10,35,gram,,0,,
Isotonique,Alimentation,,10,35,gram,,0,,
Saucisson,Alimentation,,1,250,gram,,0,,
Emmental,Alimentation,,1,250,gram,,0,,
Gels caféine coca,Alimentation,,5,62,gram,,0,,
Plats lyophilisés,Alimentation,,4,120,gram,,0,,
